	X1004V4	X1055V4	X1075V6	X1107V4	C132V8	C161V8	C220V8	C532V8	K003V4	K014V2	Z002	Z003	Z007	Z008	Z010	Z011	Z015	Z017	Z018	Z020
C00009	0.222234463	0.412519852	0.060565432	0.212329779	0.171759666	0.065464222	0.060476139	0.127486234	0.051741108	0.057972356	-0.158126648	-0.156407291	-0.366709603	-0.328423338	0.027636458	0.232148532	-0.0815132	0.291594457	-0.064978725	-0.036176118
C00015	0.383599827	0.189705705	0.718884694	0.706313639	0.509917349	0.207354504	-0.786046684	0.331366729	0.411670795	0.650885887	-0.695771959	-1.794211729	-1.348003253	-1.582879479	0.830341508	0.577147496	-0.844436973	0.759412626	-0.589052392	-1.293036319
C00016	-0.057607643	1.007939331	0.653966623	0.275418943	-0.410681199	0.4835554	1.845144176	-0.07665178	1.524170201	-0.767351967	-0.035967764	0.618305819	-1.644465866	-0.682218112	-0.293000636	-0.412611032	-0.116658845	-0.156522733	-1.1367126	0.711345285
C00020	0.580836735	1.015944123	-0.454782785	-0.832072324	0.273276095	0.102475894	0.573176414	0.191242675	0.509844587	0.007360202	0.467433175	-0.126111606	-0.696872223	-0.410238577	-0.360828917	-0.815746443	0.44473335	0.420703574	0.833134962	0.481132425
C00022	0.060938171	0.260569519	-0.305375005	-0.455098335	-0.363645164	-0.082526336	0.632777112	-0.178603386	0.047760676	-0.116076266	-0.374957416	-0.079319785	-0.480373993	0.056713799	-0.002859426	0.315390239	-0.129724585	0.284688959	-0.131439138	-0.102641707
C00025	0.222180264	-0.089221186	0.195752092	0.474578105	0.064021879	-0.932738187	1.484454224	0.462632011	-0.409457142	-0.344781009	0.712642089	0.968317068	1.303523676	0.502267311	-0.172209694	-0.574675299	-0.175720075	-0.299986212	0.031353621	0.102660616
C00026	-0.075385855	-0.140548666	0.422265847	-0.091572739	-0.035491886	0.049427576	-0.175330459	-0.000127279	0.06790818	-0.031395379	0.031849826	0.182508391	-0.349420085	0.337022768	0.113776001	0.156763841	-0.384350739	-0.132593618	-0.705289153	0.151884158
C00031	-0.146151956	-1.16653839	0.239219118	-0.737583858	-0.178734434	-0.083819232	1.015493645	-1.265078759	1.4457214	-0.193380908	0.042853191	-0.013322868	0.016147999	0.938849791	0.262581144	-0.121575632	-1.211542855	0.492448973	-0.757739331	-0.399252139
C00041	-0.208373493	0.01352954	-0.18147084	-0.109712494	-0.126483824	-0.140369453	-0.001991523	-0.090936676	-0.132443454	-0.047390766	-0.248281348	-0.185877586	-0.295155739	0.044454232	-0.072255691	0.259064073	-0.070038516	0.284347205	-0.047682074	-0.067207761
C00042	1.070583943	1.039045546	0.222860538	0.408920718	-0.559129378	0.670631427	0.564267362	-0.749463473	-0.656602897	-0.661668807	-0.385342515	0.515614405	2.130839565	0.641385133	1.197214137	0.015758123	-0.186406642	0.725557576	-0.774180429	0.334575182
C00047	-3.327833999	-0.388187635	0.167186094	-0.198577852	-0.507161157	-0.472104199	1.073872844	-0.206716796	-0.394446564	0.16680102	0.570460016	-0.790039354	0.123660883	-0.818884234	-0.151595589	-0.792278985	-0.107697853	0.619392489	-0.638526402	-0.235969108
C00051	-1.457488452	-0.820088802	-0.38367204	-0.029189591	-0.69663381	-1.131912567	0.579110065	0.179683769	-0.156600448	-0.010012947	-0.123225859	1.662744052	0.520466868	-0.183649972	0.030157802	-0.416221216	-0.381761344	-0.354375821	-0.54443539	-0.049778716
C00055	-1.351324924	0.430960318	-0.052516358	-0.630085845	-0.379226291	0.111944232	0.988758287	-0.33348931	0.055481562	-0.552144629	0.302503676	0.414529957	1.071111882	-0.369105774	-0.321233414	-0.790349823	0.279731836	0.325401848	-0.116619679	0.560855182
C00059	0.156424986	-0.130683493	-0.100288961	0.394961731	0.21665803	1.022533092	0.186926132	-0.13974778	-0.262784313	-0.29988812	-0.134652157	-0.075804314	-0.117442644	-0.183703024	-0.028299055	-0.140122747	-0.256506851	-0.186794047	-0.322844818	-0.167520433
C00062	-0.710787142	-0.620082335	-0.059502144	-1.315759864	-0.261328052	-1.14463252	0.887124498	-0.505558399	-1.514152203	0.143379315	0.460959547	0.778074347	2.245093337	-0.153715948	0.874018265	0.038331735	-0.311304804	-1.448557266	0.672143159	-0.278115278
C00063	-0.12358009	0.729643109	-7.972810695	-0.232573361	0.252298531	0.0766619	-0.054183545	0.393673111	-0.260794779	-0.543127248	0.50078857	0.357668876	0.576599017	0.143951663	0.430074467	-0.040892369	-0.012158853	0.196647507	0.092924958	-0.358490209
C00064	-0.086409311	0.275501957	-0.050575391	-0.163919479	0.01582666	0.042190973	0.500654507	-0.163429404	0.312767771	0.21808824	0.313345551	0.219542503	-0.324632228	0.028591001	-0.109799741	-0.409131763	-0.102158995	-0.17993527	-0.163188275	0.403808426
C00068	0.569827673	0.37757446	-0.319286768	-0.364448148	1.018723976	0.972586478	-1.52293201	-0.036848971	1.095739545	-0.475825947	1.379732206	-0.808575934	0.520472801	0.094999598	-0.515311721	-0.371664916	0.233754251	-0.34400119	1.219351907	-0.244395182
C00073	-0.615219352	-0.198283822	-0.528205521	-0.993949184	-0.783930541	-0.242007345	1.049752005	-0.667455133	-0.191583714	0.251898074	0.747438696	-1.482625313	0.488037136	0.167576295	-0.391472933	-0.565185795	-0.062783064	0.304204031	0.044134082	-0.298837731
C00077	-0.41934414	0.261359143	-0.852685082	-0.706804445	-0.17818182	0.409643368	1.128247383	-0.775220901	0.24209311	0.239107712	0.538197877	0.73139765	0.98469518	0.379229021	-0.130436823	-0.434558344	-0.13308943	-0.226990638	0.02338498	0.077267824
